Device Name,Device Type,Serial Number,Product Number (PN),IP Address,Site,Total Interfaces,Up Links,Down Links,Access Port,UP Link Interfaces,Interface Types,Stack,Active PSU,Non Active PSU,Switch Topology,Switch Mode,PSU Count,PSU Model,Total Power Capacity,Power Output (W),Power Input (W),"Energy Efficiency%

Col U(Power Output)/Col V(Power Input)","Power Consumption Ratio(W/MB)

Col  V(Power Input) / Col AC(Data Traffic Consumed(MB))
Note: Power used per input traffic.",Input Packets,Output Packets,RX (MB),TX (MB),Data Traffic Consumed (MB),Data Traffic Consumed (GB),"Data Traffic Allocated (MB)","Data Throughput per Watt (MB/W)",
"DataTraffic Utilization%","Carbon Emission (kgCO₂)",Carbon Emission (tonCO₂),HW End-of-Life (EoL),HW End-of-Support (EoS),HW Last Day of Support,HW Last Date of RFA,HW Security Support EoS,SW Maintenance EoL,SW Vulnerability Support EoS,Error Message
SACH1701HU2SSG01,cisco_ios,FCW2234G0SN,C9300-24P,10.10.100.15,Jebel Ali,45,6,39,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2832,5640,50.21,0.7836,8461248,5994281,4315.613,2881.934,7197.547,7.029,3330000,1.276,0.216143,1.1444,0.0011,,,,,,,,Successfully connected to device.
SACH2SAWGG01,cisco_ios,FCW2234E0C3,C9300-24P,10.20.100.27,Jebel Ali,45,7,38,24,"Vlan200, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/23, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2832,5640,50.21,0.0843,75764181,72230882,36507.523,30365.844,66873.367,65.306,3420000,11.857,1.955362,1.1444,0.0011,,,,,,,,Successfully connected to device.
SACH2PHASE9,cisco_ios,FCW2234G0SP,C9300-24P,10.20.100.56,Jebel Ali,45,8,37,24,"Vlan200, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2832,5640,50.21,0.5641,12690722,10783277,5774.993,4223.215,9998.207,9.764,6030000,1.773,0.165808,1.1444,0.0011,,,,,,,,Successfully connected to device.
SACH1SUPVR701BSG01,cisco_ios,FOC2234Q0CK,C9300-24P,10.10.100.17,Jebel Ali,45,12,33,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/7, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/17, GigabitEthernet1/0/21, GigabitEthernet1/0/23, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2714,5405,50.21,0.216,21529272,18775405,15408.223,9615.764,25023.986,24.437,7119000,4.63,0.35151,1.0967,0.0011,,,,,,,,Successfully connected to 10.10.100.17
SAPL6BTDCG05,cisco_ios,FOC2234Q0KK,C9300-24P,10.60.100.13,Jebel Ali,44,9,35,24,"Vlan100, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/24, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2832,5640,50.21,0.5613,9750704,9440311,5022.163,5025.47,10047.633,9.812,6030000,1.781,0.166627,1.1444,0.0011,,,,,,,,Successfully connected to device.
SAPL6BTDCG04,cisco_ios,FCW2234G15A,C9300-24P,10.60.100.14,Jebel Ali,45,9,36,24,"Vlan100, GigabitEthernet1/0/6, GigabitEthernet1/0/9, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/21, GigabitEthernet1/0/24, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2832,5640,50.21,1.3005,6246461,6242359,2150.252,2186.446,4336.699,4.235,6030000,0.769,0.071919,1.1444,0.0011,,,,,,,,Successfully connected to device.
CH.701DC1.GF.A-ASW.1,cisco_ios,FCW2234E0C2,C9300-24P,10.10.100.38,Jebel Ali,45,8,37,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2832,5640,50.21,1.9962,4323055,3154356,1661.609,1163.701,2825.31,2.759,5220000,0.501,0.054125,1.1444,0.0011,,,,,,,,Successfully connected to device.
PWR_BLD902_GF_A_ASW1,cisco_ios,FCW2234E0LG,C9300-24P,10.70.100.11,Jebel Ali,45,10,35,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/3, GigabitEthernet1/0/7, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2832,5640,50.21,0.3334,15918020,11212268,10539.721,6374.972,16914.693,16.518,7830000,2.999,0.216024,1.1444,0.0011,,,,,,,,Successfully connected to device.
SAKILNSCTRLRM646G01,cisco_ios,FOC2242Q0L8,C9300-48U,10.50.100.11,Jebel Ali,110,47,63,48,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/0/25, GigabitEthernet1/0/26, GigabitEthernet1/0/28, GigabitEthernet1/0/29, GigabitEthernet1/0/30, GigabitEthernet1/0/31, GigabitEthernet1/0/33, GigabitEthernet1/0/34, GigabitEthernet1/0/35, GigabitEthernet1/0/36, GigabitEthernet1/0/37, GigabitEthernet1/0/38, GigabitEthernet1/0/41, GigabitEthernet1/0/43, GigabitEthernet1/0/44, GigabitEthernet1/0/45, GigabitEthernet1/0/46, GigabitEthernet1/0/47, GigabitEthernet1/0/48, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, GigabitEthernet2/0/1, GigabitEthernet2/0/5, GigabitEthernet2/0/6, AppGigabitEthernet2/0/1","2 Virtual, 80 Gigabit, 16 TenGigabit, 4 TwentyFiveGigabit, 4 FortyGigabit",TRUE,3,1,Standalone,Power sharing,4,"PWR-C1-1100WAC,Unknown",3300,5732,11472,49.97,0.0676,131134375,135086110,84703.004,84992.862,169695.866,165.719,33750000,14.792,0.502803,2.3163,0.0023,,,,,,,,Successfully connected to device.
SACH1SAWA701HS1G01,cisco_ios,FCW2234D114,C9300-24P,10.10.100.13,Jebel Ali,45,8,37,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/22, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2810,5640,49.82,0.6223,13291542,11114946,5207.968,3855.846,9063.814,8.851,6030000,1.607,0.150312,1.1355,0.0011,,,,,,,,Successfully connected to device.
SAPWR4200PCABG01,cisco_ios,FOC2232Z0UR,C9300-24P,10.70.100.39,Jebel Ali,45,15,30,24,"Vlan100, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/10, GigabitEthernet1/0/12, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2808,5640,49.79,0.3054,16785766,17453042,9166.644,9303.849,18470.494,18.038,12159000,3.275,0.151908,1.1347,0.0011,,,,,,,,Successfully connected to device.
JCEUDST7347501I1R1U5,cisco_ios,FOX1429GFJV,WS-C4507R+E,10.10.100.1,Jebel Ali,278,119,159,384,"Vlan1, Vlan10, Vlan11, Vlan12, Vlan13, Vlan14, Vlan15, Vlan16, Vlan17, Vlan18, Vlan19, Vlan20, Vlan21, Vlan22, Vlan23, Vlan24, Vlan25, Vlan26, Vlan27, Vlan28, Vlan29, Vlan30, Vlan31, Vlan32, Vlan33, Vlan34, Vlan35, Vlan36, Vlan37, Vlan38, Vlan39, Vlan100, Vlan110, Vlan321, Vlan474, Vlan500, Vlan602, Vlan901, TenGigabitEthernet1/1/0/1, TenGigabitEthernet1/1/0/3, TenGigabitEthernet1/1/0/4, TenGigabitEthernet1/1/0/5, TenGigabitEthernet1/1/0/6, TenGigabitEthernet1/1/0/7, TenGigabitEthernet1/1/0/8, TenGigabitEthernet1/1/0/9, TenGigabitEthernet1/1/0/10, TenGigabitEthernet1/1/0/12, TenGigabitEthernet1/1/0/13, TenGigabitEthernet1/1/0/15, TenGigabitEthernet1/1/0/16, TenGigabitEthernet1/1/0/17, TenGigabitEthernet1/1/0/19, TenGigabitEthernet1/1/0/21, TenGigabitEthernet1/1/0/22, TenGigabitEthernet1/1/0/23, TenGigabitEthernet1/1/0/25, TenGigabitEthernet1/1/0/48, TwentyFiveGigE1/2/0/1, TwentyFiveGigE1/2/0/2, TwentyFiveGigE1/2/0/3, TwentyFiveGigE1/2/0/4, AppGigabitEthernet1/2/0/1, AppGigabitEthernet1/2/0/2, TenGigabitEthernet2/1/0/1, TenGigabitEthernet2/1/0/2, TenGigabitEthernet2/1/0/3, TenGigabitEthernet2/1/0/4, TenGigabitEthernet2/1/0/5, TenGigabitEthernet2/1/0/6, TenGigabitEthernet2/1/0/7, TenGigabitEthernet2/1/0/10, TenGigabitEthernet2/1/0/11, TenGigabitEthernet2/1/0/12, TenGigabitEthernet2/1/0/14, TenGigabitEthernet2/1/0/15, TenGigabitEthernet2/1/0/16, TenGigabitEthernet2/1/0/17, TenGigabitEthernet2/1/0/18, TenGigabitEthernet2/1/0/20, TenGigabitEthernet2/1/0/21, TenGigabitEthernet2/1/0/22, TenGigabitEthernet2/1/0/23, TenGigabitEthernet2/1/0/24, TenGigabitEthernet2/1/0/25, TenGigabitEthernet2/1/0/48, TwentyFiveGigE2/2/0/1, TwentyFiveGigE2/2/0/2, TwentyFiveGigE2/2/0/3, TwentyFiveGigE2/2/0/4, AppGigabitEthernet2/2/0/1, AppGigabitEthernet2/2/0/2, Port-channel10, Port-channel11, Port-channel12, Port-channel13, Port-channel14, Port-channel15, Port-channel16, Port-channel17, Port-channel18, Port-channel19, Port-channel20, Port-channel21, Port-channel24, Port-channel26, Port-channel27, Port-channel30, Port-channel31, Port-channel34, Port-channel35, Port-channel36, Port-channel37, Port-channel38, Port-channel40, Port-channel50, Port-channel59, Port-channel101, Loopback0","38 Virtual, 96 Gigabit, 96 TenGigabit, 8 TwentyFiveGigabit, 8 HundredGigabit",TRUE,0,4,,,4,C9400-PWR-3200AC,9540,35891,72720,49.36,0.0361,1899002556,2036880735,923864.27,1088068.3,2011932.57,1964.778,292500000,27.667,0.68784,14.5036,0.0145,2019-10-31,2020-10-30,2025-10-31,2021-10-30,2025-01-28,2021-10-30,2025-10-31,Successfully connected to device.
ADM_PRJTC_GF_A_ASW_8,cisco_ios,FCW2234G0QS,C9300-24P,10.30.100.109,Jebel Ali,44,14,30,24,"Vlan100, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/24, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2764,5640,49.01,2.6896,2685689,2104926,1096.793,1000.172,2096.965,2.048,3240000,0.372,0.064721,1.1169,0.0011,,,,,,,,Successfully connected to device.
SACH2DC5G01,cisco_ios,FCW2234G0SV,C9300-24P,10.20.100.54,Jebel Ali,45,6,39,24,"Vlan200, GigabitEthernet1/0/2, GigabitEthernet1/0/6, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2760,5640,48.94,2.0101,3754983,2884890,1643.53,1162.28,2805.811,2.74,3330000,0.497,0.084259,1.1153,0.0011,,,,,,,,Successfully connected to device.
SACH37505G01,cisco_ios,FCW2236G087,C9300-24P,10.20.100.46,Jebel Ali,44,6,38,24,"Vlan200, GigabitEthernet1/0/3, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2760,5640,48.94,56.2818,470629,303697,46.156,54.055,100.21,0.098,2520000,0.018,0.003977,1.1153,0.0011,,,,,,,,Successfully connected to device.
SACH2SUP7501G01,cisco_ios,FCW2233D0DJ,C9300-24P,10.20.100.48,Jebel Ali,45,10,35,24,"Vlan200, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/11, GigabitEthernet1/0/24, GigabitEthernet1/1/1, GigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2740,5640,48.58,0.1578,34862912,23753229,22604.106,13135.638,35739.743,34.902,7020000,6.337,0.509113,1.1072,0.0011,,,,,,,,Successfully connected to device.
JACH2DC4G01,cisco_ios,FOC2236Q0C0,C9300-24P,10.20.100.36,Jebel Ali,45,7,38,24,"Vlan200, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/1/1, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2712,5640,48.09,0.6838,12119361,10278684,4728.805,3519.634,8248.439,8.055,3420000,1.462,0.241182,1.0959,0.0011,,,,,,,,Successfully connected to device.
SAWFILSTAT01G01,cisco_ios,FOC2724Y3HQ,C9300-24P,10.30.100.13,Jebel Ali,45,17,28,24,"Vlan1, Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/18, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,8112,17160,47.27,0.1528,76500967,73598551,56289.886,56010.582,112300.468,109.668,8649000,6.544,1.298421,3.2781,0.0033,,,,,,,,Successfully connected to device.
SADOCKSECURITYG01,cisco_ios,FJC2410S05Y,C9300-24P,10.70.100.16,Jebel Ali,44,9,35,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2664,5640,47.23,0.1789,22811099,23198978,15734.799,15796.333,31531.132,30.792,5949000,5.591,0.530024,1.0765,0.0011,,,,,,,,Successfully connected to device.
SABLD5613G01,cisco_ios,FCW2234L0W7,C9300-24P,10.60.100.25,Jebel Ali,45,16,29,24,"Vlan100, GigabitEthernet1/0/2, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2424,5640,42.98,0.2681,17599403,18384089,10457.874,10577.159,21035.034,20.542,9900000,3.73,0.212475,0.9795,0.001,,,,,,,,Successfully connected to device.
SACH2BLD7502G01,cisco_ios,FOC2523L5LK,C9300-24P,10.20.100.30,Jebel Ali,45,11,34,24,"Vlan200, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/19, GigabitEthernet1/0/22, GigabitEthernet1/1/1, GigabitEthernet1/1/2, GigabitEthernet1/1/3, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"PWR-C1-715WAC-P,Unknown",715,2376,5640,42.13,0.2416,28303685,25630912,13940.649,9401.337,23341.987,22.795,7110000,4.139,0.328298,0.9601,0.001,,,,,,,,Successfully connected to device.
JACH5_ROWTRPLNTBLDG_SW1,cisco_ios,FOC2719YF1M,C9300-48U,10.70.100.76,Jebel Ali,69,22,47,48,"Vlan100, GigabitEthernet1/0/3, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/17, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/0/25, GigabitEthernet1/0/27, GigabitEthernet1/0/31, GigabitEthernet1/0/32, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 52 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-1100WAC-P,2200,10920,26400,41.36,0.3332,66083785,49644664,49928.138,29306.199,79234.337,77.377,43740000,3.001,0.181148,4.4128,0.0044,,,,,,,,Successfully connected to device.
SDKILNS628G01,cisco_ios,FOC2236U061,C9300-24P,10.50.100.1,Jebel Ali,95,28,67,24,"Vlan10, Vlan11, Vlan17, Vlan21, Vlan23, Vlan25, Vlan27, Vlan28, Vlan29, Vlan100, Vlan101, Vlan102, Vlan312, Vlan401, Vlan902, GigabitEthernet1/0/1, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, TenGigabitEthernet1/1/3, TenGigabitEthernet1/1/8, GigabitEthernet2/0/21, GigabitEthernet2/0/22, TenGigabitEthernet2/1/8, Port-channel1, Loopback0","16 Virtual, 56 Gigabit, 16 TenGigabit, 4 FortyGigabit",TRUE,3,1,Standalone,Power sharing,4,"Unknown,PWR-C1-715WAC",2380,15192,39480,38.48,0.0576,575460843,475541762,392499.439,293444.826,685944.265,669.867,21240000,17.374,3.229493,6.1391,0.0061,,,,,,,,Successfully connected to device.
JACH1HMC1,cisco_ios,FCW1917A441,WS-C2960X-24TS-L,10.10.100.58 ,Jebel Ali,31,2,29,24,"Vlan100, GigabitEthernet1/0/24","2 Virtual, 28 Gigabit",FALSE,,,,,0,,0,629,1680,37.44,6.2606,1566236,338569,228.77,39.572,268.343,0.262,1350000,0.16,0.019877,0.2542,0.0003,2020-10-31,2022-10-31,2027-10-31,2023-10-31,2027-01-29,2023-10-31,2027-10-31,Successfully connected to device.
MDS9706-PRM-BOT,cisco_mds,FXS1845Q1PS,DS-C9706,10.28.103.202,Jebel Ali,97,45,48,384,"fc1/1, fc1/3, fc1/4, fc1/7, fc1/9, fc1/10, fc1/23, fc1/24, fc1/25, fc1/26, fc1/27, fc1/31, fc1/32, fc1/33, fc1/34, fc1/35, fc1/38, fc1/39, fc1/41, fc1/43, fc1/44, fc1/45, fc2/1, fc2/5, fc2/12, fc2/14, fc2/20, fc2/21, fc2/28, fc2/29, fc2/30, fc2/31, fc2/32, fc2/33, fc2/35, fc2/36, fc2/37, fc2/38, fc2/40, fc2/41, fc2/42, fc2/43, fc2/44, fc2/45, mgmt0",Fibre Channel,,,,,,0,,0,22010,59760,36.83,0.0002,62315955510,79364400177,109820730.098,143780240.837,253600970.935,247657.198,540000000,4243.657,46.963143,8.8942,0.0089,,,,,,,,Successfully connected to device.
MDS9706-PRM-TOP,cisco_mds,FXS2217Q038,DS-C9706,10.28.103.201,Jebel Ali,97,44,49,384,"fc1/3, fc1/4, fc1/5, fc1/7, fc1/10, fc1/11, fc1/13, fc1/17, fc1/18, fc1/21, fc1/26, fc1/29, fc1/30, fc1/31, fc1/32, fc1/33, fc1/34, fc1/35, fc1/37, fc1/38, fc1/39, fc1/40, fc1/42, fc1/43, fc1/44, fc1/45, fc2/4, fc2/7, fc2/13, fc2/18, fc2/20, fc2/21, fc2/26, fc2/28, fc2/29, fc2/30, fc2/35, fc2/36, fc2/37, fc2/38, fc2/40, fc2/42, fc2/44, mgmt0",Fibre Channel,,,,,,0,,0,21905,59760,36.65,0.0001,112836098022,131452370642,200007567.359,236400872.075,436408439.434,426180.117,532800000,7302.685,81.908491,8.8518,0.0089,,,,,,,,Successfully connected to device.
MDS9706-SEC-BOT,cisco_mds,FXS2022Q0ZS,DS-C9706,10.28.103.204,Jebel Ali,97,35,58,384,"fc1/9, fc1/10, fc1/11, fc1/12, fc1/13, fc1/16, fc1/19, fc1/21, fc1/25, fc1/30, fc1/35, fc1/38, fc1/39, fc1/41, fc1/43, fc2/1, fc2/4, fc2/5, fc2/9, fc2/13, fc2/19, fc2/20, fc2/21, fc2/22, fc2/23, fc2/24, fc2/30, fc2/33, fc2/35, fc2/36, fc2/37, fc2/38, fc2/39, fc2/40, mgmt0",Fibre Channel,,,,,,0,,0,21818,59760,36.51,0.0003,60172901955,43124511265,106370753.873,72411343.409,178782097.282,174591.892,439200000,2991.668,40.706306,8.8167,0.0088,,,,,,,,Successfully connected to device.
MDS9706-SEC-TOP,cisco_mds,FXS2037Q181,DS-C9706,10.28.103.203,Jebel Ali,97,35,58,384,"fc1/6, fc1/9, fc1/10, fc1/12, fc1/13, fc1/14, fc1/15, fc1/16, fc1/19, fc1/35, fc1/39, fc1/41, fc1/43, fc1/45, fc2/6, fc2/9, fc2/10, fc2/11, fc2/12, fc2/14, fc2/16, fc2/18, fc2/19, fc2/20, fc2/21, fc2/22, fc2/23, fc2/24, fc2/25, fc2/26, fc2/27, fc2/28, fc2/31, fc2/36, mgmt0",Fibre Channel,,,,,,0,,0,21704,59760,36.32,0.0003,66511581689,47895105697,115237902.111,78844182.518,194082084.629,189533.286,439200000,3247.692,44.18991,8.7706,0.0088,,,,,,,,Successfully connected to device.
SAMEDCNTRG01,cisco_ios,FCW2236L0G1,C9300-24P,10.30.100.12,Jebel Ali,110,49,61,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/4, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/21, GigabitEthernet1/0/23, GigabitEthernet1/0/25, GigabitEthernet1/0/29, GigabitEthernet1/0/30, GigabitEthernet1/0/34, GigabitEthernet1/0/37, GigabitEthernet1/0/38, GigabitEthernet1/0/43, GigabitEthernet1/0/45, GigabitEthernet1/0/46, GigabitEthernet1/0/47, GigabitEthernet1/0/48, AppGigabitEthernet1/0/1, GigabitEthernet2/0/2, GigabitEthernet2/0/3, GigabitEthernet2/0/4, GigabitEthernet2/0/5, GigabitEthernet2/0/6, GigabitEthernet2/0/8, GigabitEthernet2/0/9, GigabitEthernet2/0/10, GigabitEthernet2/0/11, GigabitEthernet2/0/12, GigabitEthernet2/0/13, GigabitEthernet2/0/14, GigabitEthernet2/0/15, GigabitEthernet2/0/17, GigabitEthernet2/0/21, GigabitEthernet2/0/22, GigabitEthernet2/0/23, TenGigabitEthernet2/1/1, TenGigabitEthernet2/1/2, AppGigabitEthernet2/0/1, Port-channel1","2 Virtual, 80 Gigabit, 16 TenGigabit, 4 TwentyFiveGigabit, 4 FortyGigabit",TRUE,3,1,Ring,Power sharing,4,"PWR-C1-1100WAC,PWR-C1-715WAC,Unknown",2530,20856,60000,34.76,0.1275,408499316,530808572,284563.33,185915.123,470478.453,459.452,34749000,7.841,1.353934,8.4279,0.0084,,,,,,,,Successfully connected to device.
